hero_win1, hero_win2, hero_win3, hero_win4, hero_win5, hero_lose1, hero_lose2, hero_lose3, hero_lose4, hero_lose5
'Jax', 'Gragas', 'Irelia', 'Ezreal', 'Tahm Kench', 'Kayle', 'Lee Sin', 'Akali', 'Kalista', 'Thresh'
'Kayle', 'Ekko', 'Talon', 'Xayah', 'Leona', 'Jayce', 'Xin Zhao', 'Camille', 'Syndra', 'Morgana'
'Jayce', 'Ekko', 'Tristana', 'Jinx', 'Thresh', 'Quinn', 'Karthus', 'Qiyana', "Kai'Sa", 'Nautilus'
'Irelia', 'Nidalee', 'Jayce', 'Ezreal', 'Pyke', 'Fiora', 'Elise', 'Ekko', 'Jinx', 'Tahm Kench'
'Gnar', 'Aatrox', 'Taliyah', 'Ezreal', 'Janna', 'Jayce', 'Ekko', 'Kayle', 'Caitlyn', 'Morgana'
'Pantheon', 'Kayn', 'Karma', 'Caitlyn', 'Morgana', 'Irelia', 'Lee Sin', 'LeBlanc', 'Xayah', 'Rakan'
'Shen', 'Olaf', 'Qiyana', "Kai'Sa", 'Pyke', 'Darius', 'Karthus', 'Jayce', 'Xayah', 'Thresh'
'Volibear', 'Taliyah', 'Garen', 'Ezreal', 'Tahm Kench', 'Camille', 'Ekko', 'Qiyana', 'Xayah', 'Pyke'
'Garen', 'Ekko', 'Pantheon', "Kai'Sa", 'Blitzcrank', 'Jax', 'Shaco', 'Quinn', 'Xayah', 'Swain'
'Camille', 'Elise', 'Ryze', 'Yasuo', 'Gragas', 'Volibear', 'Lee Sin', 'Akali', "Kai'Sa", 'Nautilus'
'Malphite', "Rek'Sai", 'Taliyah', "Kai'Sa", 'Leona', 'Jax', 'Graves', 'Akali', 'Syndra', 'Tahm Kench'
'Gangplank', 'Kayn', 'Zoe', "Kai'Sa", 'Blitzcrank', 'Kayle', 'Graves', 'Akali', 'Miss Fortune', 'Thresh'
'Sylas', 'Olaf', 'Galio', "Kai'Sa", 'Blitzcrank', 'Lucian', 'Nidalee', 'Akali', 'Vayne', 'Karma'
'Camille', 'Nidalee', 'Akali', 'Ezreal', 'Galio', 'Aatrox', 'Gragas', 'Talon', 'Vayne', 'Braum'
'Ryze', 'Nidalee', 'Pantheon', 'Jinx', 'Blitzcrank', 'Olaf', 'Zac', 'Galio', 'Ezreal', 'Tahm Kench'
'Camille', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Pyke', 'Fiora', 'Gragas', 'Sylas', 'Ashe', 'Tahm Kench'
'Vladimir', 'Karthus', 'Renekton', 'Draven', 'Morgana', 'Kennen', 'Lee Sin', 'Akali', "Kai'Sa", 'Karma'
'Gangplank', 'Olaf', 'Rumble', "Kai'Sa", 'Alistar', 'Renekton', 'Taliyah', 'Pantheon', 'Vayne', 'Thresh'
'Akali', 'Lee Sin', 'Qiyana', 'Lucian', 'Pyke', 'Rumble', "Kha'Zix", 'Renekton', "Kai'Sa", 'Alistar'
'Karma', 'Fizz', 'Jayce', 'Irelia', 'Morgana', 'Renekton', 'Gragas', 'Talon', 'Xayah', 'Blitzcrank'
'Lucian', 'Gragas', 'Irelia', 'Xayah', 'Rakan', 'Fiora', 'Taliyah', 'Qiyana', 'Ezreal', 'Pyke'
'Vladimir', 'Olaf', 'Ryze', 'Xayah', 'Rakan', 'Lucian', "Rek'Sai", 'Taliyah', 'Ezreal', 'Yuumi'
'Lucian', 'Lee Sin', 'Orianna', "Kai'Sa", 'Nautilus', 'Ornn', 'Karthus', 'Camille', 'Xayah', 'Rakan'
'Darius', 'Olaf', 'Ekko', 'Jinx', 'Thresh', 'Aatrox', 'Taliyah', 'Mordekaiser', 'Ezreal', "Vel'Koz"
'Fiora', 'Ekko', 'Tristana', "Kai'Sa", 'Pyke', 'Irelia', 'Elise', 'Akali', 'Lucian', 'Morgana'
'Tristana', 'Ekko', 'Irelia', "Kai'Sa", 'Bard', 'Ryze', 'Olaf', 'Zed', 'Caitlyn', 'Lux'
'Camille', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Yuumi', 'Kayle', 'Nidalee', 'Talon', 'Lucian', 'Volibear'
'Renekton', 'Olaf', 'Twisted Fate', "Kai'Sa", 'Rakan', 'Tristana', 'Elise', 'Poppy', 'Jinx', 'Morgana'
'Jayce', 'Gragas', 'Galio', 'Xayah', 'Rakan', 'Vladimir', 'Olaf', 'Talon', 'Ezreal', 'Yuumi'
'Camille', 'Skarner', 'Twisted Fate', 'Jinx', 'Tahm Kench', 'Maokai', "Kha'Zix", 'Galio', 'Xayah', 'Pyke'
'Irelia', 'Gragas', 'Yasuo', 'Caitlyn', 'Morgana', 'Camille', 'Ekko', 'Kayle', 'Xayah', 'Pyke'
'Karma', 'Syndra', 'Galio', 'Janna', 'Yasuo', 'Tryndamere', 'Kassadin', 'Teemo', 'Neeko', 'Akali'
'Renekton', 'Olaf', 'Galio', 'Lucian', 'Soraka', 'Gangplank', "Rek'Sai", 'Akali', 'Ashe', 'Karma'
'Jax', "Rek'Sai", 'Anivia', 'Jinx', 'Thresh', 'Kayle', 'Olaf', 'Karma', "Kai'Sa", 'Pyke'
'Kayle', 'Nidalee', 'Galio', 'Jinx', 'Thresh', 'Yasuo', 'Gragas', 'Viktor', 'Ezreal', 'Leona'
'Renekton', 'Gragas', 'Tristana', 'Ezreal', 'Tahm Kench', 'Kayle', "Rek'Sai", 'LeBlanc', 'Xayah', 'Pyke'
'Jax', 'Taliyah', 'Garen', 'Xayah', 'Nautilus', 'Karma', 'Kindred', 'Galio', "Kai'Sa", 'Alistar'
'Vladimir', 'Elise', 'Qiyana', 'Lucian', 'Rakan', 'Gnar', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Karma'
'Kennen', 'Nidalee', 'Nocturne', 'Jinx', 'Bard', 'Renekton', 'Elise', 'Galio', 'Ashe', 'Tahm Kench'
'Camille', 'Nidalee', 'Viktor', "Kai'Sa", 'Alistar', 'Karma', 'Kindred', 'Orianna', 'Xayah', 'Rakan'
'Jayce', 'Kayn', 'LeBlanc', 'Ezreal', 'Tahm Kench', 'Malphite', 'Karthus', 'Lucian', 'Xayah', 'Rakan'
'Kayle', 'Olaf', 'Zoe', 'Jinx', 'Thresh', 'Irelia', 'Gragas', 'Yasuo', 'Ezreal', 'Tahm Kench'
'Renekton', 'Taliyah', 'Lucian', "Kai'Sa", 'Karma', 'Rengar', 'Karthus', 'Graves', 'Vayne', 'Lulu'
