'Galio', 'Janna', 'Vayne', 'Sona', 'Karma', 'Ezreal', 'Tryndamere', 'Skarner', 'Nidalee', 'Ziggs'
'Volibear', 'Lee Sin', 'Akali', 'Ezreal', 'Leona', 'Teemo', 'Rammus', 'Lux', 'Ezreal', 'Leona'
'Illaoi', 'Blitzcrank', 'Nami', 'Irelia', 'Jax', 'Fiddlesticks', 'Xayah', 'Darius', 'Alistar', 'Thresh'
'Karma', 'Corki', 'Fiddlesticks', 'Qiyana', 'Ekko', 'Morgana', 'Ornn', 'Tristana', 'Cassiopeia', 'Ezreal'
'Poppy', 'Xayah', 'Bard', 'Orianna', 'Amumu', 'Rakan', 'Karthus', 'Dr. Mundo', 'Anivia', 'Jinx'
'Renekton', "Rek'Sai", 'Lux', "Kai'Sa", 'Blitzcrank', 'Gnar', 'Twitch', 'Cassiopeia', 'Ezreal', 'Yuumi'
'Taliyah', 'Braum', 'Quinn', 'Warwick', 'Irelia', 'Leona', 'Azir', 'Vayne', 'Renekton', 'Zilean'
'Pantheon', 'Taliyah', 'Ryze', "Kai'Sa", 'Alistar', 'Jax', 'Gragas', 'Ekko', 'Draven', 'Leona'
'Viktor', 'Taliyah', 'Corki', 'Jinx', 'Nautilus', 'Galio', 'Lee Sin', 'Tristana', 'Vayne', 'Rakan'
'Lucian', 'Lee Sin', 'Katarina', 'Ashe', 'Blitzcrank', 'Garen', "Rek'Sai", 'Vladimir', "Kai'Sa", 'Karma'
'Riven', 'Karthus', 'Twisted Fate', 'Lucian', 'Zilean', 'Pantheon', 'Shyvana', 'Galio', 'Ezreal', 'Morgana'
'Aatrox', "Kha'Zix", 'Talon', 'Ezreal', 'Morgana', 'Camille', 'Lee Sin', 'Zed', 'Jhin', 'Blitzcrank'
'Zed', "Rek'Sai", 'Annie', 'Miss Fortune', 'Thresh', 'Vladimir', 'Lee Sin', "Kog'Maw", 'Xayah', 'Blitzcrank'
'Lucian', 'Vi', 'Zoe', 'Shen', 'Thresh', 'Rengar', 'Lee Sin', 'Galio', 'Heimerdinger', 'Morgana'
'Mordekaiser', 'Elise', 'Kled', 'Irelia', 'Xerath', 'Darius', 'Ekko', 'Swain', 'Ezreal', 'Zyra'
