'Azir', 'Taliyah', 'Caitlyn', 'Zyra', 'Udyr', 'Karma', 'Zilean', 'Olaf', 'Ezreal', 'Amumu'
'Irelia', 'Ekko', 'Kayle', "Kai'Sa", 'Nautilus', 'Jayce', 'Lee Sin', 'Twisted Fate', 'Jinx', 'Thresh'
'Camille', 'Ekko', 'Poppy', 'Caitlyn', 'Yuumi', 'Jax', 'Shaco', 'Vladimir', 'Ashe', 'Bard'
'Poppy', "Kha'Zix", 'Syndra', 'Lucian', 'Bard', 'Jayce', "Rek'Sai", 'Kayle', 'Xayah', 'Yuumi'
'Camille', 'Elise', 'Tahm Kench', "Kai'Sa", 'Morgana', 'Vladimir', 'Graves', 'Taliyah', 'Ashe', 'Thresh'
'Kayle', 'Taliyah', 'LeBlanc', 'Tristana', 'Thresh', 'Renekton', 'Elise', 'Lucian', "Kai'Sa", 'Gragas'
'Kayle', 'Taliyah', 'Irelia', "Kai'Sa", 'Nautilus', 'Jax', 'Ekko', 'Galio', 'Xayah', 'Thresh'
'Gangplank', 'Ekko', 'Nocturne', 'Ezreal', 'Bard', 'Irelia', "Kha'Zix", 'Akali', 'Draven', 'Thresh'
'Karma', 'Taliyah', 'Pantheon', 'Jinx', 'Thresh', 'Rumble', "Kha'Zix", 'Twisted Fate', "Kai'Sa", 'Nautilus'
'Shen', 'Elise', 'Qiyana', 'Kalista', 'Thresh', 'Jax', 'Lee Sin', 'Akali', 'Ezreal', 'Soraka'
'Heimerdinger', "Kha'Zix", 'Camille', 'Lucian', 'Morgana', 'Akali', 'Nidalee', 'Syndra', 'Jinx', 'Thresh'
'Rumble', 'Nidalee', 'Akali', 'Lucian', 'Gragas', 'Jayce', 'Ekko', 'Pantheon', 'Caitlyn', 'Thresh'
'Jax', 'Elise', 'Yasuo', 'Caitlyn', 'Morgana', 'Camille', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Nautilus'
'Garen', 'Nidalee', 'Qiyana', 'Ezreal', 'Bard', 'Quinn', 'Elise', 'Pantheon', 'Draven', 'Thresh'
'Garen', "Kha'Zix", 'Twisted Fate', 'Ezreal', 'Alistar', 'Pantheon', 'Ekko', 'Akali', 'Jinx', 'Nautilus'
'Camille', 'Ekko', 'Poppy', 'Caitlyn', 'Yuumi', 'Jax', 'Shaco', 'Vladimir', 'Ashe', 'Bard'
'Kayle', 'Olaf', 'Tristana', "Kai'Sa", 'Pyke', 'Gangplank', 'Gragas', 'Twisted Fate', 'Xayah', 'Rakan'
'Teemo', 'Lee Sin', 'Akali', "Kai'Sa", 'Soraka', 'Gangplank', 'Jarvan IV', 'Sylas', 'Ashe', "Vel'Koz"
'Kennen', 'Trundle', 'Twisted Fate', "Kai'Sa", 'Volibear', 'Lissandra', 'Nocturne', 'Kassadin', 'Ezreal', 'Ornn'
'Rumble', 'Garen', 'Kayle', 'Ezreal', 'Yuumi', 'Vayne', 'Ekko', 'Yasuo', 'Xayah', 'Rakan'
'Karma', 'Graves', 'Sylas', "Kai'Sa", 'Nautilus', 'Jayce', 'Nidalee', 'Twisted Fate', 'Yasuo', 'Volibear'
'Jax', 'Lee Sin', 'Syndra', 'Miss Fortune', 'Nautilus', 'Jayce', 'Ekko', 'Twisted Fate', "Kai'Sa", 'Volibear'
'Jayce', 'Lee Sin', 'Zoe', "Kai'Sa", 'Leona', 'Lucian', "Rek'Sai", 'Twisted Fate', 'Ezreal', 'Karma'
'Renekton', "Kha'Zix", 'Viktor', "Kai'Sa", 'Nautilus', 'Jayce', 'Elise', 'Twisted Fate', 'Neeko', 'Bard'
'Hecarim', 'Lee Sin', 'Kayle', "Kai'Sa", 'Nautilus', 'Irelia', 'Elise', 'Twisted Fate', 'Ezreal', 'Pyke'
'Gangplank', 'Ekko', 'Hecarim', 'Lucian', 'Janna', 'Kayle', 'Olaf', 'Akali', "Kai'Sa", 'Volibear'
'Camille', 'Lee Sin', 'Zoe', "Kai'Sa", 'Thresh', 'Pantheon', 'Kindred', 'Twisted Fate', 'Jinx', 'Tahm Kench'
'Gangplank', 'Lee Sin', 'Trundle', "Kai'Sa", 'Blitzcrank', 'Kayle', "Rek'Sai", 'Galio', 'Jinx', 'Thresh'
'Ryze', 'Kayn', 'Lucian', 'Miss Fortune', 'Yuumi', 'Irelia', 'Karthus', 'Kayle', 'Ashe', 'Lux'
'Quinn', 'Nidalee', "Vel'Koz", 'Xayah', 'Karma', 'Vladimir', 'Lee Sin', 'Twisted Fate', 'Lucian', 'Morgana'
'Garen', "Rek'Sai", 'Akali', 'Ezreal', 'Pyke', 'Diana', 'Graves', 'Lucian', 'Xayah', 'Rakan'
'Camille', "Rek'Sai", 'Zoe', 'Ezreal', 'Yuumi', 'Jayce', 'Taliyah', 'Twisted Fate', 'Vayne', 'Janna'
'Rengar', 'Elise', 'Diana', 'Lucian', 'Galio', 'Shen', 'Ekko', 'Irelia', "Kai'Sa", 'Nautilus'
'Rengar', 'Taliyah', 'Diana', 'Ezreal', 'Nautilus', 'Jayce', 'Elise', 'Garen', 'Vayne', 'Galio'
'Akali', 'Olaf', 'Talon', 'Sivir', 'Nautilus', 'Garen', 'Lee Sin', 'Twisted Fate', 'Ezreal', 'Leona'
'Wukong', 'Taliyah', 'Kled', "Kai'Sa", 'Nautilus', 'Camille', 'Nidalee', 'Annie', 'Ezreal', 'Tahm Kench'
'Gangplank', 'Xin Zhao', 'Riven', "Kai'Sa", 'Yasuo', 'Ashe', 'Riven', 'Ezreal', 'Lucian', 'Alistar'
'Diana', 'Gragas', 'Yasuo', "Kai'Sa", 'Morgana', 'Garen', 'Lee Sin', 'Galio', 'Ezreal', 'Karma'
'Ornn', 'Qiyana', 'Vladimir', 'Kalista', 'Leona', 'Camille', 'Lee Sin', 'Zilean', "Kai'Sa", 'Karma'
'Shaco', 'Jarvan IV', 'LeBlanc', 'Varus', 'Leona', 'Gangplank', 'Elise', 'LeBlanc', 'Jinx', 'Nami'
'Kennen', "Kha'Zix", 'Ryze', 'Ashe', 'Thresh', 'Rengar', 'Olaf', 'Diana', 'Miss Fortune', 'Nautilus'
